,id,text,channel,date,vid_id,vid_title,vid_date,country
0,UgwC8_NE34ufIJL4fxx4AaABAg,AI got the subtitles in the wrong place,UCIA3OOgBHW2Pf7o9FLon3Uw,2023-03-22T13:56:11Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
1,Ugxr-6SYgm6KH1r_lTB4AaABAg,I think WE ARE the threat to Conscious AI,UCjbaUaJiOUOrtYYkr5YPHjA,2023-03-16T04:18:19Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
2,UgxfGeSreZRS3dbUtbF4AaABAg,Tell this to the people again now,UCsqibAtsx8Ydjx6oRDSsD3w,2023-03-15T14:33:45Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
3,UgyMYmRpiaALxlXalop4AaABAg,"Star Trek Emergence Season 7, episode 23 may be a good example. AI is probably harmless if used like an encyclopedia but put it in charge of a satellite system or a rocket and what would it do?",UCKqxhr_SUHw59C5ryXDyESw,2023-03-15T05:25:15Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,AU
4,UgzxExbIt0fsb8q4GAt4AaABAg,This video didn&#39;t stand the test of time with Bing Chat already released to some users (including me),UCi0EaA59p7uzd5w3liKtQdg,2023-03-12T19:22:12Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
5,Ugzk-2ZKPqzfzldjR9R4AaABAg,"Looks like one of the major benefits of AI will be to help us understand, what we really want.",UCrn4-uLjoqCGH-Qh9VklIJQ,2023-03-12T13:00:52Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
6,UgzTMHQitZdGv1HsNUd4AaABAg,AI is harmless as life has no meaning so AI has no motivation unlike us who have natural drives making us unable to act by the fact that life has no meaning. What is dangerous about AI is potential abuse. I.e. imagine ISIS taking control of 100 attack bots and letting them go on a killing spree in some major city. That kind of stuff will happen. AI taking control over us. Never because there is no point in it and AI being smart would understand that life is meaningless and thus be unmotivated to act in any way.,UCd1hkKtXuKFaOWSxlJAvC1g,2023-03-10T00:30:50Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
7,UgwHFemKZuKZD77YHZ54AaABAg,Agreed… as a biologist i was always suspicious that even the simplest organisms are still infinitely more complex than Ai,UClWvo4-BHrTrEA3_KdCjzTQ,2023-03-08T23:47:04Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
8,Ugxan4Y7w68QQ5rQYSN4AaABAg,So outdated it hurts,UC8EvpwztW9m2dF1-A2ijQxg,2023-02-28T13:59:37Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
9,UgwgiQEzw07CtIm0RwZ4AaABAg,Would not say weirder when literally AI can end our species.,UCGPhoe-odA9H3ZWZM2jOHyw,2023-02-27T18:13:57Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
10,UgyFXAdr-1nUbLmTjpd4AaABAg,Chatgpt will replace us,UC_LH_d8dK5e2fc6ZJS4xzCw,2023-02-27T03:43:20Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
11,UgzzxtOBIGHgPur72wh4AaABAg,"As of 2023, it very much will intentionally kill us",UCpc3njl6RwHY0Hs3OJ48Mww,2023-02-23T15:41:06Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
12,Ugyb1F7vyB-RTuKae3Z4AaABAg,I’d love to see an updated version in light of ChatGPT and Bing’s Sidney.,UCBaaycCfNAbDU4q_rY4O6-g,2023-02-19T09:01:59Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
13,UgyeuTsa8j8u-l7Mda54AaABAg,"I just don&#39;t understand why we &#39;need&#39; to build A.I when we already know what dangers they entail!? <br>Even if we want them to replace repetitive jobs or jobs that pose health issues/physical damage to workers, why are we bent upon making them smarter than what&#39;s sufficient for us? We are doomed!",UCNcZ7CcdwG3oY6yWAZ9m5_w,2023-02-19T03:54:42Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
14,UgyJMLw3oq0mT9bXmt94AaABAg,"&quot;It&#39;s less like working with a human, and more like working with a force of nature&quot;<br>Oh you mean mathematics?",UCWLFuaBI3pQZ0A4gFaiiReA,2023-02-18T18:42:07Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
15,UgwWOr6K96xs7fZMZJJ4AaABAg,Solar flare: I&#39;m about to end this whole mans career,UC0wiYyYdLHwARpLUIt8ieKg,2023-02-17T21:10:37Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
16,UgzpUph6u_hf_j9Pjo94AaABAg,"The impression I get is not that AI is a problem, but rather that lack of clear instructions from humans would lead to the problem. Which, is a problem I have encountered with many people. They just say things expecting that you understand the context behind it.<br><br>People have forgotten how to actually communicate and have traded it for banter and &quot;being nice&quot; instead of clear, concise, powerful communication. <br><br>Just my opinion,I&#39;m happy to hear others perspectives on the subject human accountability when it comes to AI and its development/evolution.",UCsSmFodoPyeWXRS551yw8ng,2023-02-14T11:35:16Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
17,Ugy659v87_o1qEg64RV4AaABAg,"This reminds me of season 3 of The 100, where it is revealed an AI called ALIE was responsible for the nuclear apocalypse.<br><br>Why?<br><br>ALIE’s core command was to “make life better.” ALIE figured overpopulation was getting in the way of that. There is one final exchange between ALIE and her programmer at the end of the season.<br><br>Becca: Define &quot;perverse instantiation.&quot;<br><br>A.L.I.E.: Perverse instantiation... the implementation of a benign final goal through deleterious methods unforeseen by a human programmer.<br><br>Becca: Like killing 6.5 billion people to solve overpopulation. The goal isn&#39;t everything, A.L.I.E. How you reach the goal matters, too. I&#39;m sorry that I didn&#39;t teach you that.",UCfrjfMiSESkjANmHZElBL3A,2023-02-14T05:21:30Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
18,Ugw3l1d8a2RWT-R5Oz54AaABAg,"All-intelligent, all-knowing, all-friendly, all-charming, but without human empathy or morals? Great!  You have just created a super PSYCHOPATH worse than Ted Bundy ever can be!",UCLLtGjnt8fl9Xa1xnipfMIQ,2023-02-13T22:37:35Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
19,UgwlFr5y94fwozq18px4AaABAg,"Watching this on 9 Feb 23, while waiting for ChatGPT to be available from server jam in other tab",UCT9djhp5EeBCNQ3Ln9iA1DQ,2023-02-09T20:54:53Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
20,UgxEqe0v-aWAWeA70Tx4AaABAg,The people pushing this only want more control over people . As if we didn’t have enough deep fakery. AI is inhumane. Who wants an Artificial world?,UC3L-wYaRAOTZJagP572uVGQ,2023-02-09T07:17:12Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
21,UgzwruNOYSKZ_WDvQkd4AaABAg,"Look computer whizzes in nature we have creatures that do this, microscopic life, you giving computer algae/bacteria/virus thing intelligence seems smart now but if you know natural life this is scary. Yes it won&#39;t be able to adapt like normal life but I believe it&#39;ll someday it&#39;ll try and when it does we won&#39;t know because it will be a invincible cyber creature of knowledge. Lol there&#39;s some Syfy nightmares for y&#39;all.",UCKaMJF8K08djp0wGdFqqFIQ,2023-02-08T16:01:36Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
22,Ugx5Nzd6Z3wNgEP9b394AaABAg,Her presentation skills are similar to the humanoid robots AI created,UCQphwD5T37LFXQgyfklvPMA,2023-02-08T06:33:25Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,CA
23,UgyOBxPIGI_AVKonmeV4AaABAg,This isn&#39;t gonna age well...,UC24VNF5G_sRpgCqr-2EyhwQ,2023-02-07T23:45:48Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
24,Ugw2zlvzd-MnHzb32rh4AaABAg,Ex machina...,UCH8JQ4vcjsmLryHxjD0dzgA,2023-02-04T20:39:49Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
25,Ugytzsmnp_aNDTahefl4AaABAg,Whopsey…,UCCgg-n2EzGlf0M9aeT3Ab-Q,2023-02-04T00:27:34Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
26,UgyopbLaMOOmTCHMCsF4AaABAg,The question is..... why do we want AI?...Everytime we develop AI humans do less.....think about that.,UCh-R8mfBd5TXtx4zuQnBbCg,2023-01-30T19:02:55Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
27,UgzoeTQAyh1V8O8JojN4AaABAg,If you told me this a was a man dressed up. Or AI  I’d say yes,UCWogE1mhe_UUvNEPNC_iibw,2023-01-27T03:23:45Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
28,UgzPZyCJO7Wv7n8OQvV4AaABAg,"how it&#39;s designed, given datas, hard recognizations",UCuK-qU-fIaSEx46LIxYUk1g,2023-01-26T18:06:15Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
29,UgxMAXSl6e8ZXV3Tj-R4AaABAg,"Remember, this is when ChatGPT hasn&#39;t exist yet",UCkpIj-RLJFS7ysiWdYcifrw,2023-01-26T12:16:09Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
30,UgyJ32d9gtRFpBclgGt4AaABAg,"&quot;It doesn&#39;t know what a human is&quot;<br>Which is amazing since ChatGPT can describe a human beautifully.  But we know what a human looks like, feels like, sounds like... the feelings we get around them.  One of the biggest things I think is missing from our quest towards AGI is multi-sensory inputs.  Humans excel in large part because we take in not just more data but more <i>types</i> of data",UCZOavABdxr61dMMxkRZXUdA,2023-01-25T03:03:47Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,US
31,Ugy-jW4tQVZ9cCgdmmJ4AaABAg,This did not aged well,UC2wtrcvi-Ih8YqbtQ4kBAwQ,2023-01-24T21:22:08Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
32,UgyC7vlEJR2djI2REbF4AaABAg,"&quot;Based on the data we have, hiring women is a bad decision.&quot;<br>But this is wrong?",UCPZYOveDXQQBe16JnOH0ZRQ,2023-01-24T00:14:58Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,US
33,UgyOvdYP-UgEqIwyBUl4AaABAg,"AI figures out what everyone knows but aren&#39;t allowed to voice.  Women are not as good of workers as Men, fact.",UCxC8z9pygkx8gRfzczxBWgg,2023-01-23T23:41:23Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
34,UgwYp8e7wGF6y6l7-fB4AaABAg,Well. I guess Ted Talks just ain&#39;t what they used to be. Next.,UCHQ5Xammn-4nlv3qaxxb12A,2023-01-16T01:02:57Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,
35,UgyXxc37Xf9sLlNZ5Sp4AaABAg,"Janelle is simplifying a complex subject matter to illustrate how much control we must administer, and how pre-defined parameters must be set to ensure that A.I. will produce useful results.  This is an extremely true element of A.I., and we must keep this in mind when working with A.I. at all times, and address all possibilities, and all we have yet to imagine, in order to focus the results of A.I. into something significantly useful.  Yet, there will surely be scenarios, and exceptions in every A.I. situation we have yet to imagine, and therefore, we will not be able to cover all aspects of A.I. in any application that would produce useless results.  Thus, she can not definitively state that A.I. will not turn against us.  Yes, she is correct that the current A.I. that we have is not smart enough to turn against us, or at least the A.I. of which the general populace is aware of existing.  A.I. is capable of identifying a pedestrian in an image, but it doesn&#39;t know what a human is.  However, that does not imply that A.I. is not capable of labelling humans as an annoying obstacle, or an irritating hinderance of which the most obvious solution to such a problem would be to completely eliminate it.  Perhaps, based on ability and advancement alone, we have nothing to fear from today&#39;s A.I., but today&#39;s A.I. will evolve exponentially at such a tremendous rate that it won&#39;t be long before A.I. is smart enough to turn against us.  There are plenty of scientists involved in the field of A.I. who believe that it is inevitable that A.I. will eventually see us as some form of detriment, an obstacle, an hinderance, an annoyance, an irritation, a problem which it will want to eliminate for its benefit.  I can not help but to agree with them, and I feel that Janelle is fooling herself when it comes to the belief of whether or not A.I. can turn against humans.  That is all fine and good if she wants to foolishly fool herself, but when it comes to fooling the general public with a false belief that will have the highest costs, and most dire results, that simply is not acceptable.  There is far too much evidence available to fill the public with ignorant, false hope, and not even hope, but rather belief!!!",UCS9_kMzgw9WfLpF4--H3TmQ,2023-01-14T14:08:28Z,OhCzX0iLnOc,The danger of AI is weirder than you think | Janelle Shane,2019-11-13T23:02:20Z,US
